상호명,상권업종소분류명,시도명,시군구명,위도,경도,좌석 수,1인 좌석 수,콘센트 ,와이파이 속도
경운재,카페,제주특별자치도,제주시,33.49393907,126.6767755,46,11,41,112mbps
개화당,카페,제주특별자치도,제주시,33.47019723,126.5415297,15,3,3,126mbps
꿈꾸는고양이,카페,제주특별자치도,제주시,33.46608988,126.3576344,48,12,43,66mbps
달자카페,카페,제주특별자치도,제주시,33.48354907,126.3797559,13,4,4,111mbps
홀리싯커피서플라이,카페,제주특별자치도,제주시,33.49480093,126.5413032,18,3,0,136mbps
클라우드나인커피,카페,제주특별자치도,제주시,33.49903842,126.5292819,21,10,20,55mbps
몽상의정원,카페,제주특별자치도,제주시,33.52450224,126.5645809,47,11,39,59mbps
글러트니커피,카페,제주특별자치도,제주시,33.48657252,126.5348907,42,8,42,61mbps
블라썸1407,카페,제주특별자치도,제주시,33.45684998,126.3475381,35,8,15,87mbps
뽀르또,카페,제주특별자치도,서귀포시,33.27312475,126.6633264,39,13,26,52mbps
도그모루,카페,제주특별자치도,제주시,33.51527905,126.673015,49,24,48,109mbps
법환쌀다방,카페,제주특별자치도,서귀포시,33.23747385,126.5110862,25,12,9,74mbps
카페오트,카페,제주특별자치도,제주시,33.32585668,126.2560565,24,6,14,127mbps
리치망고도두해안로점,카페,제주특별자치도,제주시,33.50565334,126.4684182,20,10,17,144mbps
엘파소,카페,제주특별자치도,서귀포시,33.24538996,126.3259153,34,6,32,93mbps
사계풍경포시즌,카페,제주특별자치도,서귀포시,33.23655142,126.3106193,24,6,15,51mbps
세화인,카페,제주특별자치도,제주시,33.52619367,126.8560088,16,3,7,147mbps
띠아모제주,카페,제주특별자치도,제주시,33.50593974,126.495957,49,12,41,80mbps
헬렌앤마리,카페,제주특별자치도,제주시,33.51223474,126.5237859,13,2,3,119mbps
채플린,카페,제주특별자치도,서귀포시,33.24820844,126.5659453,36,18,25,127mbps
세화비치,카페,제주특별자치도,제주시,33.52493239,126.8568398,17,4,10,124mbps
코삿호다,카페,제주특별자치도,제주시,33.36551894,126.1982888,18,3,12,75mbps
소인,카페,제주특별자치도,제주시,33.48421784,126.4843764,26,5,16,76mbps
깃든,카페,제주특별자치도,제주시,33.54309217,126.8296125,49,16,36,128mbps
카페현,카페,제주특별자치도,제주시,33.49288896,126.5435838,40,8,26,103mbps
큐제이,카페,제주특별자치도,제주시,33.49014821,126.5363242,21,4,10,136mbps
미르의언덕,카페,제주특별자치도,제주시,33.54518288,126.6621784,38,12,19,88mbps
카페훤,카페,제주특별자치도,제주시,33.39617119,126.242506,13,3,4,142mbps
스위스마을117동;다온,카페,제주특별자치도,제주시,33.49393907,126.6767755,19,4,14,50mbps
디오,카페,제주특별자치도,제주시,33.50714974,126.5121904,10,3,6,109mbps
윈드스톤,카페,제주특별자치도,제주시,33.46047601,126.4360909,38,12,38,79mbps
백향목전통차,카페,제주특별자치도,서귀포시,33.40975637,126.8977734,19,4,3,103mbps
준파스타,카페,제주특별자치도,서귀포시,33.25852567,126.6249409,42,8,33,111mbps
블루하이,카페,제주특별자치도,제주시,33.38139558,126.2180244,25,6,22,126mbps
한앤솜하우스,카페,제주특별자치도,제주시,33.47567755,126.477391,50,16,32,55mbps
에이바우트커피올레,카페,제주특별자치도,서귀포시,33.24736797,126.5628162,21,10,1,144mbps
카페이음새,카페,제주특별자치도,제주시,33.49057559,126.4957017,17,3,3,143mbps
카페블루탐,카페,제주특별자치도,제주시,33.53120208,126.6196447,27,13,19,145mbps
그녀의커피잔,카페,제주특별자치도,서귀포시,33.24153658,126.5312247,31,6,21,136mbps
이디야커피제주하귀점,카페,제주특별자치도,제주시,33.48461884,126.4162338,19,9,11,108mbps
콩,카페,제주특별자치도,서귀포시,33.25447191,126.5600014,37,7,29,98mbps
르브아커피,카페,제주특별자치도,서귀포시,33.27404317,126.6764396,40,10,24,141mbps
바닐라파레트,카페,제주특별자치도,제주시,33.47713358,126.4805991,21,4,20,102mbps
블루미270,카페,제주특별자치도,서귀포시,33.31220486,126.7191774,23,5,13,100mbps
모티프커피제주,카페,제주특별자치도,서귀포시,33.28035193,126.2851033,36,9,20,141mbps
종달블랑,카페,제주특별자치도,제주시,33.49184928,126.8992696,48,24,40,115mbps
보라지붕,카페,제주특별자치도,제주시,33.54076855,126.6701521,14,3,0,50mbps
갤러리오브디지털아트,카페,제주특별자치도,서귀포시,33.30420118,126.2996617,36,7,36,148mbps
이레하우스,카페,제주특별자치도,제주시,33.49606021,126.5503358,39,13,38,146mbps
인,카페,제주특별자치도,제주시,33.54519975,126.8280471,24,4,21,119mbps
버터플라이,카페,제주특별자치도,서귀포시,33.25702335,126.5755173,14,2,14,86mbps
제주봄날,카페,제주특별자치도,제주시,33.46250476,126.3095891,37,9,22,93mbps
메탈리코,카페,제주특별자치도,제주시,33.42538868,126.4057816,25,8,8,92mbps
화의기억,카페,제주특별자치도,제주시,33.43953704,126.3285043,35,7,22,100mbps
엘앤씨컴퍼니,카페,제주특별자치도,서귀포시,33.24429919,126.5910194,22,7,18,130mbps
카페오션브릭,카페,제주특별자치도,서귀포시,33.24174054,126.3246451,17,3,5,69mbps
레이지,카페,제주특별자치도,서귀포시,33.23644663,126.3128625,16,3,15,86mbps
색달로망스,카페,제주특별자치도,서귀포시,33.26076227,126.4110842,11,2,10,116mbps
녹원,카페,제주특별자치도,제주시,33.50758453,126.5243064,21,10,21,123mbps
제주엔봄,카페,제주특별자치도,제주시,33.46610987,126.5146579,40,8,24,61mbps
산방산흑돼지,카페,제주특별자치도,서귀포시,33.23587318,126.3086291,49,24,29,99mbps
이디야커피제주화북점,카페,제주특별자치도,제주시,33.51876939,126.5727148,14,3,5,59mbps
효진,카페,제주특별자치도,제주시,33.51317035,126.5303355,43,14,29,116mbps
뽀르뽀라,카페,제주특별자치도,서귀포시,33.41055767,126.9078243,43,21,33,67mbps
유람위드북스,카페,제주특별자치도,제주시,33.33973823,126.2347777,46,23,26,115mbps
루핀,카페,제주특별자치도,서귀포시,33.21038633,126.2913358,32,8,21,122mbps
도노미,카페,제주특별자치도,제주시,33.48425354,126.4756933,27,13,18,102mbps
오캄커피,카페,제주특별자치도,제주시,33.4995528,126.5317865,44,14,38,139mbps
리치망고애월점,카페,제주특별자치도,제주시,33.46855869,126.3401783,31,10,29,130mbps
걸피커피,카페,제주특별자치도,제주시,33.49907053,126.5258811,19,4,8,57mbps
에이바우트스타디움,카페,제주특별자치도,제주시,33.50496379,126.5643129,44,8,29,66mbps
파스쿠찌제주노형,카페,제주특별자치도,제주시,33.48701852,126.4792812,15,7,3,101mbps
속솜,카페,제주특별자치도,제주시,33.52859028,126.879839,21,7,4,149mbps
자작나무,카페,제주특별자치도,제주시,33.4798375,126.4978942,42,10,37,67mbps
파머스커피,카페,제주특별자치도,서귀포시,33.24374997,126.45694,25,8,17,108mbps
곱을락;숨바꼭질,카페,제주특별자치도,서귀포시,33.1670806,126.2724305,25,8,7,114mbps
동광,카페,제주특별자치도,제주시,33.48972959,126.5425566,19,3,13,76mbps
비원,카페,제주특별자치도,제주시,33.51310344,126.5293349,45,11,44,126mbps
요거프레스제주성산점,카페,제주특별자치도,서귀포시,33.46642464,126.9119929,47,15,28,142mbps
카페노아,카페,제주특별자치도,제주시,33.52862493,126.58904,48,12,43,135mbps
니모스토리,카페,제주특별자치도,제주시,33.55825605,126.7539855,45,15,27,102mbps
두리,카페,제주특별자치도,서귀포시,33.32585142,126.8316261,31,6,26,85mbps
레드빈,카페,제주특별자치도,서귀포시,33.25239944,126.4254769,17,4,9,84mbps
제주앨리스연동점,카페,제주특별자치도,제주시,33.48014304,126.4910174,41,10,36,89mbps
메이플,카페,제주특별자치도,제주시,33.38407682,126.2673612,30,6,28,137mbps
에이바웃,카페,제주특별자치도,서귀포시,33.25159096,126.424173,27,5,23,91mbps
뜨락,카페,제주특별자치도,제주시,33.48291507,126.4124687,23,7,9,122mbps
모란이피기까지,카페,제주특별자치도,제주시,33.51557546,126.8664133,23,4,13,135mbps
디엔에이투자파트너스,카페,제주특별자치도,제주시,33.30816135,126.249077,12,3,11,110mbps
컴포즈서귀포표선점,카페,제주특별자치도,서귀포시,33.326898,126.8321396,11,5,7,85mbps
부커피,카페,제주특별자치도,제주시,33.51890666,126.4920498,43,21,42,132mbps
호꼴락,카페,제주특별자치도,서귀포시,33.32585142,126.8316261,19,9,12,127mbps
마린68,카페,제주특별자치도,서귀포시,33.23084931,126.3082931,37,7,19,129mbps
덴드리,카페,제주특별자치도,서귀포시,33.36961314,126.8660565,25,5,15,89mbps
부추,카페,제주특별자치도,제주시,33.4474759,126.4343037,18,6,15,96mbps
온도커피,카페,제주특별자치도,제주시,33.48291128,126.4845563,43,14,34,73mbps
에니스케리,카페,제주특별자치도,제주시,33.39540252,126.2421257,27,13,20,52mbps
마블러스하도,카페,제주특별자치도,제주시,33.52920362,126.8800965,36,12,17,139mbps
은찬이네카페,카페,제주특별자치도,서귀포시,33.32585142,126.8316261,19,9,12,106mbps
유심이감성,카페,제주특별자치도,제주시,33.96058454,126.2955297,25,5,14,140mbps
아주르블루,카페,제주특별자치도,서귀포시,33.27968447,126.7238222,46,15,41,147mbps
모래비커피팩토리,카페,제주특별자치도,제주시,33.55551949,126.7960334,27,9,7,86mbps
투썸플레이스제주남원농협하나로마트점,카페,제주특별자치도,서귀포시,33.28439528,126.7217033,39,7,32,70mbps
그리니티,카페,제주특별자치도,제주시,33.49292048,126.5447996,42,21,33,62mbps
커피순,카페,제주특별자치도,제주시,33.49162771,126.4972451,34,8,28,101mbps
우지커피제주,카페,제주특별자치도,서귀포시,33.25209791,126.4226673,33,8,19,70mbps
20세기소년,카페,제주특별자치도,제주시,33.50141082,126.5296027,46,15,39,90mbps
베러먼데이노형,카페,제주특별자치도,제주시,33.48337831,126.4776675,11,2,3,83mbps
제파,카페,제주특별자치도,제주시,33.55456941,126.7939789,37,18,25,111mbps
오,카페,제주특별자치도,제주시,33.51474639,126.5394758,35,11,18,63mbps
애월맛차,카페,제주특별자치도,제주시,33.47140411,126.4186999,42,14,36,122mbps
로컬리지,카페,제주특별자치도,서귀포시,33.23153949,126.2963148,20,4,11,119mbps
카페촐,카페,제주특별자치도,서귀포시,33.41223397,126.7737708,19,6,10,125mbps
록록타르트,카페,제주특별자치도,제주시,33.52885087,126.8789343,29,9,29,149mbps
월령15,카페,제주특별자치도,제주시,33.37626312,126.2176405,34,17,33,70mbps
망고레이필리핀디저트카페,카페,제주특별자치도,서귀포시,33.43635265,126.9205188,37,7,33,90mbps
송당나무가드닝센터,카페,제주특별자치도,제주시,33.47696041,126.7890416,45,15,45,121mbps
헬레네감사헌느,카페,제주특별자치도,제주시,33.49484937,126.6766537,36,12,32,51mbps
하토우커피로스터스,카페,제주특별자치도,제주시,33.52002431,126.8701416,33,8,26,74mbps
나지금제주,카페,제주특별자치도,제주시,33.48177429,126.4714799,16,3,1,119mbps
서귀포더벤티,카페,제주특별자치도,서귀포시,33.25092138,126.4334703,17,8,2,126mbps
노마와사비,카페,제주특별자치도,제주시,33.50164112,126.5429567,25,5,11,105mbps
카페두모리에,카페,제주특별자치도,제주시,33.3574857,126.1830635,14,3,6,150mbps
소금인형,카페,제주특별자치도,제주시,33.50448544,126.5249261,39,7,28,87mbps
메리오가닉,카페,제주특별자치도,제주시,33.34972088,126.1827386,20,6,15,89mbps
나인커피숍,카페,제주특별자치도,제주시,33.49473979,126.5467378,17,4,5,103mbps
개떼목장,카페,제주특별자치도,서귀포시,33.27937334,126.3179364,27,13,16,112mbps
우도몬딱,카페,제주특별자치도,제주시,33.51501791,126.9569783,11,3,8,99mbps
카페도구리3083,카페,제주특별자치도,서귀포시,33.27490269,126.172617,12,2,1,103mbps
구씨커피,카페,제주특별자치도,제주시,33.52363072,126.853957,20,10,11,139mbps
좁생이방앗간,카페,제주특별자치도,서귀포시,33.35470622,126.8405523,37,12,34,55mbps
빽다방제주,카페,제주특별자치도,제주시,33.54518288,126.6621784,21,10,18,132mbps
카페애옥,카페,제주특별자치도,서귀포시,33.36924586,126.8682922,27,9,22,79mbps
커피와수다,카페,제주특별자치도,제주시,33.51152704,126.5202918,43,21,41,74mbps
돌개바람,카페,제주특별자치도,서귀포시,33.40076258,126.9032017,13,4,12,88mbps
쿠잉,카페,제주특별자치도,제주시,33.49271625,126.4770627,30,6,20,126mbps
욱앤에프,카페,제주특별자치도,제주시,33.54248807,126.6692088,14,3,9,89mbps
앤그리고,카페,제주특별자치도,서귀포시,33.24708522,126.5644594,16,4,8,118mbps
노을해안1014,카페,제주특별자치도,제주시,33.29767701,126.1685585,25,8,9,73mbps
더벤티법환포구점,카페,제주특별자치도,서귀포시,33.2355576,126.5144657,47,15,38,88mbps
원택,카페,제주특별자치도,제주시,33.49860909,126.5301882,45,22,43,64mbps
달리는커피도두점,카페,제주특별자치도,제주시,33.50294734,126.4639471,26,8,13,121mbps
코알라,카페,제주특별자치도,제주시,33.48121705,126.489096,41,20,23,102mbps
템푸스,카페,제주특별자치도,제주시,33.55492716,126.7976932,10,2,9,119mbps
베이커리카페70,카페,제주특별자치도,서귀포시,33.24499229,126.569309,16,4,9,106mbps
서정,카페,제주특별자치도,서귀포시,33.25259464,126.5544092,46,11,27,75mbps
법인더휘게,카페,제주특별자치도,제주시,33.429337,126.3551096,25,8,21,51mbps
시작카페,카페,제주특별자치도,제주시,33.50770869,126.5237676,18,6,17,52mbps
말벗카페,카페,제주특별자치도,제주시,33.44897614,126.7134458,41,10,23,129mbps
고스란히,카페,제주특별자치도,제주시,33.48845775,126.5351281,39,7,34,138mbps
어썸커뮤니티,카페,제주특별자치도,제주시,33.47643936,126.5497487,37,9,29,100mbps
드롭탑제주,카페,제주특별자치도,제주시,33.50397969,126.5270597,34,6,23,90mbps
꾸까,카페,제주특별자치도,제주시,33.51567549,126.5396001,35,7,27,116mbps
파피용살롱드떼,카페,제주특별자치도,서귀포시,33.32772543,126.8306129,41,20,22,115mbps
컴포즈커피한림점,카페,제주특별자치도,제주시,33.40991433,126.2654889,25,12,18,56mbps
황금다방,카페,제주특별자치도,서귀포시,33.24748842,126.5663137,50,25,40,91mbps
에이드롭커피,카페,제주특별자치도,서귀포시,33.27537309,126.6747173,43,14,36,98mbps
도로시,카페,제주특별자치도,제주시,33.48817416,126.4818136,48,12,47,129mbps
머스크,카페,제주특별자치도,제주시,33.52019977,126.5666153,38,7,21,146mbps
앨리스,카페,제주특별자치도,제주시,33.49756987,126.5295589,13,2,3,122mbps
달리는커피제주삼화점,카페,제주특별자치도,제주시,33.51702523,126.5820878,45,15,42,124mbps
레몬올레,카페,제주특별자치도,서귀포시,33.2624917,126.3684872,33,6,27,114mbps
동감,카페,제주특별자치도,제주시,33.47860391,126.4807732,43,21,28,111mbps
귤하르방구좌점,카페,제주특별자치도,제주시,33.53239786,126.8494315,21,5,5,143mbps
마당한동,카페,제주특별자치도,제주시,33.53333216,126.8198994,14,3,3,85mbps
금호다방,카페,제주특별자치도,제주시,33.51211652,126.5188571,47,15,40,120mbps
모카,카페,제주특별자치도,서귀포시,33.29216872,126.7613912,14,3,6,86mbps
우유부단,카페,제주특별자치도,제주시,33.34761701,126.3280613,30,6,27,135mbps
모시란,카페,제주특별자치도,제주시,33.49811223,126.5468709,38,19,35,123mbps
백조,카페,제주특별자치도,제주시,33.51364025,126.5282449,20,6,8,117mbps
달페이지,카페,제주특별자치도,서귀포시,33.2597569,126.4139349,48,9,30,148mbps
마로네,카페,제주특별자치도,제주시,33.51217707,126.5395325,43,14,41,117mbps
망고하이,카페,제주특별자치도,서귀포시,33.25822668,126.4068622,37,9,18,141mbps
카카듀,카페,제주특별자치도,제주시,33.49130453,126.5417843,16,4,4,120mbps
이디야커피제주연북로점,카페,제주특별자치도,제주시,33.48166877,126.4849618,27,5,7,149mbps
그레이트커피,카페,제주특별자치도,서귀포시,33.2669766,126.2953761,39,19,30,118mbps
귤꽃,카페,제주특별자치도,제주시,33.53842006,126.6553142,44,11,32,98mbps
샐리가든커피,카페,제주특별자치도,제주시,33.49291516,126.5360727,32,16,29,107mbps
19티성산,카페,제주특별자치도,서귀포시,33.46129928,126.9342755,34,11,30,133mbps
엠브릿지,카페,제주특별자치도,서귀포시,33.21005903,126.2583784,17,5,2,141mbps
코츠커피,카페,제주특별자치도,서귀포시,33.2448043,126.5065709,22,7,9,134mbps
아이즈,카페,제주특별자치도,제주시,33.53606053,126.6251894,46,11,37,51mbps
카페헤이브라운,카페,제주특별자치도,제주시,33.47211616,126.5411323,25,8,21,63mbps
카페인어,카페,제주특별자치도,제주시,33.44043402,126.2763944,49,9,39,109mbps
제주나무카페,카페,제주특별자치도,제주시,33.4561999,126.710378,13,4,6,115mbps
쁘띠,카페,제주특별자치도,제주시,33.49517849,126.5337578,45,22,26,100mbps
꽃길,카페,제주특별자치도,서귀포시,33.25091618,126.5616181,35,7,30,58mbps
카페바나나,카페,제주특별자치도,제주시,33.54381497,126.6630989,22,11,3,143mbps
컴플리트,카페,제주특별자치도,제주시,33.47824183,126.4912975,40,13,27,129mbps
다코네,카페,제주특별자치도,제주시,33.52919017,126.8367771,43,8,36,93mbps
위즈,카페,제주특별자치도,제주시,33.48751466,126.4321283,47,15,47,108mbps
커피로카,카페,제주특별자치도,제주시,33.50662665,126.5404444,35,7,26,87mbps
하례마을공간내창협동조합,카페,제주특별자치도,서귀포시,33.25339411,126.6275169,17,4,17,130mbps
꿈,카페,제주특별자치도,제주시,33.5020625,126.5278988,14,4,8,131mbps
올래파이,카페,제주특별자치도,제주시,33.48015144,126.4908667,45,9,30,125mbps
픽토랜드,카페,제주특별자치도,제주시,33.5221791,126.6881022,11,3,8,92mbps
달리는커피제주외도점,카페,제주특별자치도,제주시,33.48897754,126.4306661,42,10,26,74mbps
칠칠,카페,제주특별자치도,제주시,33.51365447,126.5272439,39,19,23,109mbps
알레그레,카페,제주특별자치도,제주시,33.42599077,126.26416,33,8,23,93mbps
더구두미,카페,제주특별자치도,서귀포시,33.2436643,126.5953895,17,4,12,63mbps
마크로비오틱올리브,카페,제주특별자치도,서귀포시,33.3260623,126.3788012,46,23,46,90mbps
소색채본,카페,제주특별자치도,서귀포시,33.23511656,126.3136453,28,5,21,74mbps
카페쉬머,카페,제주특별자치도,서귀포시,33.25405129,126.5217788,35,17,35,118mbps
바라나시책골목,카페,제주특별자치도,제주시,33.51632169,126.5151957,12,4,8,61mbps
플라워코티지,카페,제주특별자치도,서귀포시,33.24486755,126.3636675,40,13,36,65mbps
영국찻집,카페,제주특별자치도,제주시,33.41723414,126.314119,30,15,10,113mbps
커피림,카페,제주특별자치도,제주시,33.46944616,126.4878634,37,12,35,100mbps
노론존,카페,제주특별자치도,제주시,33.48843607,126.4840824,19,3,10,148mbps
카페분식이다,카페,제주특별자치도,제주시,33.48764301,126.5342501,16,8,6,56mbps
해리앤소담,카페,제주특별자치도,제주시,33.462635,126.4310858,25,5,25,135mbps
앤드앤드,카페,제주특별자치도,제주시,33.48361455,126.4867363,49,24,32,150mbps
빽다방제주평화로에스케이점,카페,제주특별자치도,제주시,33.46752173,126.4572482,15,7,1,70mbps
컴포즈,카페,제주특별자치도,서귀포시,33.26130866,126.521589,46,11,44,88mbps
서귀포평양옥,카페,제주특별자치도,서귀포시,33.29839248,126.6007523,36,18,32,120mbps
케이빈,카페,제주특별자치도,제주시,33.47756583,126.549603,44,11,24,90mbps
몽마르카부덴,카페,제주특별자치도,서귀포시,33.23523845,126.3128612,28,9,22,82mbps
파라카페,카페,제주특별자치도,제주시,33.48409544,126.3808387,22,5,8,133mbps
발트글라스카페,카페,제주특별자치도,제주시,33.46803839,126.4853759,30,7,10,116mbps
고사리커피,카페,제주특별자치도,제주시,33.47337211,126.7640802,42,10,22,82mbps
러뷰라떼,카페,제주특별자치도,제주시,33.47981511,126.526567,48,16,38,88mbps
혜윰,카페,제주특별자치도,제주시,33.46933,126.5435137,16,8,14,134mbps
커피마마제주한림점,카페,제주특별자치도,제주시,33.41112413,126.2672955,35,17,28,92mbps
수궁다방,카페,제주특별자치도,서귀포시,33.22024366,126.2517491,24,12,10,134mbps
카페온,카페,제주특별자치도,제주시,33.4903459,126.4794012,45,11,26,139mbps
제주에서,카페,제주특별자치도,제주시,33.49863977,126.5335348,33,8,16,150mbps
자유다방,카페,제주특별자치도,서귀포시,33.24923485,126.5655325,23,11,7,58mbps
루프탑,카페,제주특별자치도,서귀포시,33.24522304,126.5630844,15,3,11,140mbps
산지물마을카페,카페,제주특별자치도,서귀포시,33.26429827,126.5647281,21,7,7,138mbps
웰컴순카페,카페,제주특별자치도,제주시,33.34569737,126.283055,28,7,8,88mbps
라브뉴,카페,제주특별자치도,제주시,33.49226184,126.5301794,28,7,28,76mbps
꼬닥꼬닥걸으멍,카페,제주특별자치도,서귀포시,33.17279851,126.269628,49,12,41,103mbps
카페제주로드1136,카페,제주특별자치도,제주시,33.35310505,126.2594238,46,23,39,52mbps
빽다방제주봉개DT점,카페,제주특별자치도,제주시,33.48410845,126.6041955,10,2,8,122mbps
봄봄,카페,제주특별자치도,제주시,33.48913908,126.4754379,43,14,40,130mbps
쉬어갓,카페,제주특별자치도,서귀포시,33.38609318,126.8822709,14,2,11,88mbps
드리밍,카페,제주특별자치도,제주시,33.50042454,126.5263042,20,4,1,141mbps
플랏포커피,카페,제주특별자치도,제주시,33.4870154,126.4828427,48,9,37,53mbps
모드락572,카페,제주특별자치도,서귀포시,33.35447622,126.7737377,31,10,28,57mbps
컴포즈커피서귀포성산점,카페,제주특별자치도,서귀포시,33.45093511,126.9121806,16,5,8,84mbps
제피로스,카페,제주특별자치도,제주시,33.31758726,126.1690138,27,5,24,65mbps
